"Time [min]","Event Name","Chamber","Event Text","1A: O2 concentration [M]","1A: O2 slope neg. [pmol/(s*mL)]","1B: O2 concentration [M]","1B: O2 slope neg. [pmol/(s*mL)]","1: Block temp. [C]","1: Peltier power [%]"
0.03,"","","",189.5393,,203.0725,,37.0090,10.2260
0.07,"","","",189.5240,,203.0548,,37.0070,10.1770
0.10,"","","",189.4878,,203.0305,,37.0050,10.1590
0.13,"","","",189.4779,,203.0203,,37.0040,10.1580
0.17,"","","",189.4860,7.5908,203.0017,8.8509,37.0030,10.1250
0.20,"","","",189.4815,4.3376,202.9551,11.4597,37.0040,10.0800
0.23,"","","",189.4643,2.1688,202.9038,15.9317,37.0050,10.0250
0.27,"","","",189.4444,4.4280,202.8656,20.3106,37.0050,10.0110
0.30,"","","",189.4544,5.0605,202.8340,21.2423,37.0050,9.9760
0.33,"","","",189.4218,5.5124,202.7659,16.7702,37.0050,9.9510
0.37,"","","",189.3486,6.9582,202.6700,20.3106,37.0050,9.9120
0.40,"","","",189.3197,8.5848,202.5880,24.3168,37.0060,9.8510
0.43,"","","",189.2682,11.6573,202.5544,27.1119,37.0060,9.8290
0.47,"","","",189.3125,12.3802,202.4995,28.9752,37.0060,9.8040
0.50,"","","",189.4110,7.9523,202.2479,26.1802,37.0060,9.7550
0.53,"","","",189.5637,4.6991,202.3923,27.4845,37.0070,9.7330
0.57,"","","",189.7580,-0.7229,202.4221,27.4845,37.0080,9.6740
0.60,"","","",189.9640,-7.7715,202.5526,25.0622,37.0060,9.6670
0.63,"","","",190.1068,-15.6334,202.7296,19.6584,37.0050,9.6590
0.67,"","","",190.2812,-12.2899,202.8899,15.8385,37.0050,9.6200
0.70,"","","",190.5180,-18.9770,203.0613,11.1801,37.0060,9.5740
0.73,"","","",190.7556,-26.5678,203.2504,5.2174,37.0070,9.5370
0.77,"","","",190.9626,-34.4297,203.4572,-1.8634,37.0060,9.5080
0.80,"","","",191.1506,-42.4723,203.6604,-10.0621,37.0060,9.4880
0.83,"","","",191.3385,-33.7971,203.8635,-6.2422,37.0060,9.4300
0.87,"","","",191.5355,-40.1227,204.0498,-12.4845,37.0060,9.4270
0.90,"","","",191.7181,-46.5388,204.2613,-19.1926,37.0050,9.3910
0.93,"","","",191.8916,-52.6837,204.4448,-26.1802,37.0060,9.3240
0.97,"","","",192.0750,-58.7383,204.6097,-33.3541,37.0050,9.3300
1.00,"","","",192.2856,-48.7076,204.7728,-25.3417,37.0030,9.3280
