"Time [min]","Event Name","Chamber","Event Text","1A: O2 concentration [M]","1A: O2 slope neg. [pmol/(s*mL)]","1B: O2 concentration [M]","1B: O2 slope neg. [pmol/(s*mL)]","1: Block temp. [C]","1: Peltier power [%]"
0.03,"","","",173.8282,,138.0087,,36.9990,12.3520
0.07,"","","",173.9077,,137.9956,,37.0000,12.3380
0.10,"","","",174.3641,,137.9369,,37.0010,12.3000
0.13,"","","",174.8186,,138.1167,,37.0020,12.2530
0.17,"","","",175.2695,-189.6794,139.4723,-152.4227,37.0020,12.2160
0.20,"","","",175.7069,-225.1934,141.3245,-409.6592,37.0020,12.1710
0.23,"","","",176.1352,-221.5788,143.2270,-689.4424,37.0010,12.1780
0.27,"","","",176.5329,-214.7109,145.1537,-891.4304,36.9990,12.2390
0.30,"","","",176.8618,-200.5234,146.7059,-914.8155,36.9990,12.2450
0.33,"","","",177.1862,-200.4330,148.4798,-631.7715,37.0010,12.2190
0.37,"","","",177.5151,-201.9692,150.0981,-741.2437,37.0010,12.1870
0.40,"","","",177.8802,-193.8362,151.6652,-819.7843,36.9990,12.2260
0.43,"","","",178.1965,-185.4322,153.1568,-854.2564,37.0000,12.2340
0.47,"","","",178.5019,-177.2992,154.5609,-840.6539,37.0000,12.2130
0.50,"","","",178.7938,-185.9744,155.8699,-722.1443,37.0010,12.1690
0.53,"","","",179.0857,-183.7152,157.1556,-762.1133,37.0010,12.1420
0.57,"","","",179.3776,-176.8473,158.3947,-783.1693,37.0000,12.1350
0.60,"","","",179.6198,-169.7084,159.6003,-782.0513,36.9980,12.1890
0.63,"","","",179.8484,-162.5694,160.7165,-758.7593,36.9980,12.2000
0.67,"","","",180.0743,-171.3350,161.7711,-709.6598,36.9990,12.2220
0.70,"","","",180.3183,-167.3588,162.7811,-721.6785,36.9980,12.2590
0.73,"","","",180.5506,-160.8525,163.7155,-721.7716,36.9980,12.2890
0.77,"","","",180.7674,-154.4364,164.6547,-708.7281,36.9990,12.2930
0.80,"","","",180.9500,-148.1108,165.5500,-683.3865,37.0000,12.3030
0.83,"","","",180.7033,-155.0690,166.3867,-667.3616,37.0010,12.2630
0.87,"","","",180.0120,-144.7672,167.2317,-666.8026,37.0000,12.2810
0.90,"","","",180.4936,-134.6462,168.0432,-658.6038,37.0020,12.2090
0.93,"","","",182.7492,-134.7365,168.8314,-642.2063,37.0010,12.1960
0.97,"","","",185.6138,-147.0264,169.5721,-618.2621,37.0010,12.1730
1.00,"","","",187.8639,-170.4313,170.2392,-619.6596,37.0000,12.1590
1.03,"","","",189.1146,-186.6973,170.9156,-613.2311,36.9990,12.1860
1.07,"","","",189.7255,-201.7885,171.5612,-601.4919,37.0000,12.2150
1.10,"","","",189.9695,-215.7049,172.0979,-583.7900,37.0000,12.2320
1.13,"","","",190.0698,-227.9948,171.9991,-558.8210,37.0010,12.2000
1.17,"","","",190.1303,-223.3861,171.7075,-566.6471,37.0020,12.1650
1.20,"","","",190.1637,-230.2540,174.5445,-559.1937,37.0000,12.1800
1.23,"","","",190.2252,-235.2241,179.7153,-558.8210,37.0000,12.2120
1.27,"","","",190.2541,-239.1099,183.4895,-561.5229,37.0000,12.1950
1.30,"","","",190.2803,-241.9112,185.4917,-563.1067,37.0000,12.2180
1.33,"","","",190.2378,-230.7058,186.5957,-585.0012,36.9990,12.2460
1.37,"","","",190.2342,-231.5191,187.1873,-591.0571,37.0000,12.2280
