"Time [min]","Event Name","Chamber","Event Text","1A: O2 concentration [M]","1A: O2 slope neg. [pmol/(s*mL)]","1B: O2 concentration [M]","1B: O2 slope neg. [pmol/(s*mL)]","1: Block temp. [°C]","1: Peltier power [%]"
0.03,"","","",181.7211,,182.0332,,37.0040,14.3410
0.07,"","","",181.7547,,182.0087,,37.0010,14.3550
0.10,"","","",181.7855,,182.0116,,37.0000,14.3330
0.13,"","","",181.8091,,182.0087,,37.0000,14.3220
0.17,"","","",181.7882,-9.4315,182.0040,2.9146,36.9970,14.4030
0.20,"","","",181.7510,0.1814,182.0539,-4.1368,36.9970,14.4340
0.23,"","","",181.7293,8.5246,182.0219,-3.2906,36.9980,14.4400
0.27,"","","",181.7302,10.8825,181.9805,1.8804,37.0000,14.4250
0.30,"","","",181.7556,4.3530,181.9655,7.5214,36.9990,14.4480
0.33,"","","",181.7474,0.9069,181.9693,2.8205,37.0000,14.4530
0.37,"","","",181.7284,2.9020,181.9965,2.1624,37.0010,14.4130
0.40,"","","",181.7066,4.4437,181.9787,2.6325,37.0000,14.3990
0.43,"","","",181.6721,5.5319,181.9063,4.7009,37.0000,14.4130
0.47,"","","",181.6712,5.2599,181.9063,6.2992,37.0000,14.4110
0.50,"","","",181.6758,3.4461,181.9138,4.2308,37.0000,14.4380
0.53,"","","",181.6540,4.7157,181.9298,4.1368,37.0000,14.4120
0.57,"","","",181.6223,5.7133,181.9279,4.3248,36.9980,14.4670
0.60,"","","",181.5914,6.4388,181.9072,4.5129,36.9980,14.4940
0.63,"","","",181.6068,6.2574,181.8875,4.8889,36.9990,14.5000
0.67,"","","",181.6531,4.5344,181.8715,4.1368,36.9990,14.5370
0.70,"","","",181.6703,4.7157,181.9044,3.9488,37.0010,14.4910
0.73,"","","",181.6440,4.8064,181.9269,3.8547,37.0010,14.4710
0.77,"","","",181.6077,4.7157,181.8809,3.8547,37.0020,14.4200
0.80,"","","",181.6313,4.2623,181.8828,3.8547,37.0020,14.3870
0.83,"","","",181.6041,3.8996,181.8611,3.5727,37.0020,14.3540
0.87,"","","",181.5787,4.2623,181.8292,3.6667,37.0010,14.3590
0.90,"","","",181.6313,4.1716,181.8132,3.9488,36.9990,14.3890
0.93,"","","",181.6966,3.5368,181.8198,4.0428,36.9990,14.4030
0.97,"","","",181.6993,2.8113,181.8028,4.2308,36.9990,14.4280
1.00,"","","",181.6939,2.6299,181.8104,3.9488,37.0000,14.4360
1.03,"","","",181.6767,2.5392,181.7869,4.0428,37.0010,14.4090
1.07,"","","",181.6903,2.2672,181.8057,4.0428,37.0000,14.4160
1.10,"","","",181.6495,1.9951,181.7775,4.1368,37.0000,14.4020
1.13,"","","",181.6096,1.8137,181.7859,4.2308,37.0000,14.3760
1.17,"","","",181.6204,2.0858,181.8038,3.8547,36.9990,14.4180
1.20,"","","",181.6449,2.0858,181.8179,3.7607,37.0010,14.3950
1.23,"","","",181.3937,2.5392,181.7953,3.7607,37.0000,14.4030
1.27,"","","",181.8009,1.9044,181.7558,3.8547,36.9990,14.4430
1.30,"","","",181.5089,1.9951,181.8075,3.6667,37.0000,14.4500
1.33,"","","",181.6576,1.9951,181.7878,3.5727,37.0010,14.4060
1.37,"","","",181.9152,1.4510,181.7540,3.5727,37.0000,14.3890
1.40,"","","",182.1337,0.5441,181.7192,3.5727,37.0010,14.3690
1.43,"","","",182.3650,-0.9069,181.7258,3.6667,36.9990,14.4130
1.47,"","","",182.8338,-3.1741,181.8113,3.4787,36.9980,14.4540
1.50,"","","",183.2492,-6.0761,181.6082,3.6667,36.9990,14.4580
1.53,"","","",183.5394,-9.3408,182.0849,2.9146,37.0000,14.4540
1.57,"","","",183.7897,-12.7869,183.1257,0.2821,37.0020,14.3990
1.60,"","","",184.0772,-16.5958,183.6578,-3.1966,36.9990,14.4650
1.63,"","","",184.3746,-20.8581,182.8164,-4.8889,36.9990,14.4830
1.67,"","","",184.1198,-24.3042,182.9452,-6.6753,36.9990,14.5070
1.70,"","","",181.5134,-22.6718,184.6807,-11.7523,36.9990,14.5190
1.73,"","","",182.3550,-22.6718,186.1784,-19.1797,36.9980,14.5560
1.77,"","","",186.4668,-30.0175,187.1713,-27.9234,37.0000,14.5760
1.80,"","","",189.6445,-42.7137,187.7363,-37.1372,37.0000,14.5790
1.83,"","","",191.5108,-58.0399,187.9986,-46.3509,37.0000,14.6010
1.87,"","","",192.4703,-74.2729,188.0541,-55.1886,37.0010,14.5590
1.90,"","","",192.9935,-90.3246,188.0146,-63.2742,37.0010,14.5250
1.93,"","","",193.3173,-105.8321,188.0259,-70.8897,37.0010,14.5090
1.97,"","","",193.5168,-120.6142,188.0250,-77.7530,37.0010,14.4700
2.00,"","","",193.6601,-134.6707,188.0494,-84.1462,37.0000,14.4570
2.03,"","","",193.8251,-147.9110,188.0682,-90.0694,37.0000,14.4510
2.07,"","","",193.9213,-160.1538,188.0804,-95.4284,37.0000,14.4580
2.10,"","","",193.9539,-171.2177,188.0814,-100.1293,37.0000,14.4310
2.13,"","","",194.0092,-181.2840,188.0428,-104.1721,37.0000,14.4610
2.17,"","","",194.0265,-190.1713,184.0311,-100.2233,36.9990,14.4760
2.20,"","","",194.0773,-197.9705,162.8450,-57.3511,37.0020,14.4050
2.23,"","","",184.4000,-186.9066,162.0421,-14.6668,37.0010,14.4150
2.27,"","","",164.6075,-139.5678,167.3814,16.2651,36.9960,14.5270
2.30,"","","",167.3580,-98.8492,171.6621,38.1714,36.9930,14.5980
2.33,"","","",171.6820,-67.3807,174.4685,53.8724,36.9860,14.9440
2.37,"","","",174.4144,-41.8069,176.0386,66.0947,36.9810,15.3730
2.40,"","","",176.3043,-20.4047,176.8885,76.2487,36.9780,15.8290
2.43,"","","",177.5803,-1.8137,178.1155,83.6761,36.9760,16.2510
2.47,"","","",178.4428,14.9634,179.0998,88.9411,36.9750,16.6860
2.50,"","","",179.4875,29.4734,180.1030,92.1378,36.9750,17.1330
2.53,"","","",180.3073,42.2603,181.0986,93.2660,36.9780,17.4530
2.57,"","","",181.2686,53.6869,182.0717,92.7019,36.9790,17.8370
2.60,"","","",182.2017,62.5743,182.9903,90.4454,36.9820,18.1790
2.63,"","","",182.9753,70.5547,183.8177,86.7787,36.9870,18.3570
2.67,"","","",183.7942,76.9936,184.6638,81.7017,36.9900,18.5570
2.70,"","","",184.5097,81.8000,185.4141,75.5906,36.9900,18.7790
2.73,"","","",185.2117,85.1554,186.1944,68.5392,36.9920,18.8970
2.77,"","","",185.8564,87.1505,186.8873,60.5477,36.9920,19.0830
2.80,"","","",186.5212,87.4226,187.5633,51.7100,36.9930,19.0840
2.83,"","","",187.0780,86.1530,188.2722,42.4962,36.9920,19.1930
2.87,"","","",187.6793,83.6137,188.9012,31.7781,36.9930,19.2330
2.90,"","","",188.1980,79.9862,189.5123,18.6156,36.9930,19.2700
2.93,"","","",188.7031,75.3612,190.2391,3.7607,36.9930,19.3240
2.97,"","","",189.2146,69.6479,190.6725,-9.7779,36.9930,19.3710
3.00,"","","",189.4404,64.4787,191.3071,-23.8806,36.9940,19.3660
3.03,"","","",189.4595,64.7508,191.6475,-41.1799,36.9930,19.4300
3.07,"","","",189.8721,63.3904,192.3611,-62.0520,36.9930,19.4480
3.10,"","","",190.4198,53.8683,191.9267,-83.3941,36.9930,19.4590
3.13,"","","",191.0773,37.3632,187.3866,-97.1207,36.9930,19.4800
3.17,"","","",192.0631,15.5982,181.8000,-101.1635,36.9940,19.5080
3.20,"","","",187.4979,0.4534,177.3896,-97.8729,36.9950,19.5120
3.23,"","","",182.4892,-7.0736,174.8352,-90.7275,36.9970,19.5030
3.27,"","","",179.0232,-9.8849,174.7581,-84.8043,36.9990,19.5170
3.30,"","","",177.1695,-10.9732,175.1191,-80.6675,37.0020,19.4530
3.33,"","","",176.5592,-12.7869,175.1858,-78.0350,37.0050,19.3660
3.37,"","","",176.0658,-15.5982,175.0458,-76.3427,37.0090,19.2240
3.40,"","","",175.7557,-19.6792,174.7364,-75.3085,37.0110,18.9830
3.43,"","","",175.8600,-25.7552,174.3660,-74.8384,37.0130,18.7320
3.47,"","","",176.0595,-34.0078,173.9740,-74.8384,37.0110,18.5470
3.50,"","","",176.2236,-44.1647,173.5133,-67.6930,37.0090,18.3430
3.53,"","","",176.4141,-56.5889,173.1137,-20.0259,37.0080,18.3090
3.57,"","","",176.5583,-52.2359,172.9059,30.5559,37.0070,18.2830
3.60,"","","",176.5837,-10.6104,172.7527,72.1119,37.0060,18.2710
3.63,"","","",176.6898,26.6621,172.6295,106.2405,37.0060,18.2430
3.67,"","","",176.7886,56.2262,172.3512,135.5741,37.0080,18.1290
3.70,"","","",176.9410,80.8024,172.2440,161.8052,37.0100,17.9060
3.73,"","","",177.1278,101.6605,172.0485,186.4379,37.0100,17.6620
3.77,"","","",177.2983,119.7980,171.9253,208.5322,37.0090,17.4830
3.80,"","","",177.4697,135.9403,171.9554,228.0880,37.0070,17.4450
3.83,"","","",177.6501,149.7248,171.9620,244.9172,37.0070,17.4060
3.87,"","","",177.8279,161.3328,172.0221,259.1139,37.0080,17.3630
3.90,"","","",178.0319,170.4922,172.0306,270.4901,37.0090,17.1430
3.93,"","","",178.1934,177.2937,172.0005,279.2338,37.0070,17.0640
3.97,"","","",178.3376,182.0095,172.0851,285.1570,37.0050,17.0260
4.00,"","","",178.4727,184.3674,172.0607,288.4476,37.0060,16.9950
4.03,"","","",178.6105,184.6394,172.0560,289.1057,37.0070,16.9660
4.07,"","","",178.7919,182.7350,172.1331,286.8493,37.0070,16.9330
4.10,"","","",178.9570,178.6541,172.1096,282.0544,37.0080,16.9050
4.13,"","","",179.0622,172.3966,172.0466,274.6269,37.0090,16.7520
4.17,"","","",179.2118,164.1441,172.1105,264.2849,37.0100,16.5400
4.20,"","","",179.3406,153.8057,172.2139,251.0284,37.0080,16.3610
4.23,"","","",179.4158,141.4722,172.3352,234.7633,37.0070,16.3500
4.27,"","","",179.4938,127.2343,172.3305,215.4895,37.0050,16.3530
4.30,"","","",179.6797,110.8199,172.3822,193.6773,37.0050,16.3070
4.33,"","","",179.8239,92.7731,172.4885,168.7625,37.0050,16.2970
4.37,"","","",179.9318,73.6381,172.5703,141.2152,37.0060,16.2480
4.40,"","","",180.0425,52.5987,172.7677,110.0952,37.0060,16.2060
4.43,"","","",180.2103,29.2920,172.9473,77.7530,37.0100,15.9870
4.47,"","","",180.3372,3.4461,173.0093,52.1801,37.0110,15.7730
4.50,"","","",180.4379,-25.3925,170.7896,40.0517,37.0070,15.7020
4.53,"","","",180.5485,-46.7947,157.9345,58.9494,37.0030,15.7120
4.57,"","","",180.7099,-59.4909,163.8971,69.9495,37.0020,15.6930
4.60,"","","",180.8278,-65.9297,174.4074,60.9237,37.0010,15.6780
4.63,"","","",181.0001,-68.9224,182.1846,36.9491,36.9990,15.7160
4.67,"","","",181.0781,-70.5547,187.4458,3.7607,36.9950,15.8010
4.70,"","","",181.1461,-70.9175,191.0166,-34.4106,36.9940,15.8460
4.73,"","","",181.2269,-70.2827,193.4404,-74.9324,36.9920,15.9010
4.77,"","","",181.3112,-69.5572,195.1168,-116.1124,36.9910,16.1100
4.80,"","","",181.3973,-68.9224,196.3117,-156.7282,36.9910,16.3290
4.83,"","","",163.6199,-35.4587,197.1946,-196.0278,36.9930,16.4090
4.87,"","","",164.2874,-4.8971,197.8705,-233.5410,36.9960,16.3980
4.90,"","","",176.4231,2.1765,198.3557,-269.2679,36.9960,16.4150
4.93,"","","",184.9741,-6.5295,198.7402,-302.9264,36.9970,16.4640
4.97,"","","",190.2221,-24.2135,199.0138,-334.5165,36.9950,16.5100
5.00,"","","",193.3935,-46.7040,199.1783,-363.2860,36.9940,16.5590
5.03,"","","",195.4593,-71.6430,199.3137,-389.7051,36.9920,16.6900
5.07,"","","",196.8668,-97.7610,199.3748,-413.2097,36.9910,16.9160
5.10,"","","",197.8090,-124.0603,199.4021,-433.9877,36.9930,16.9560
5.13,"","","",198.4302,-149.9969,199.4190,-452.3212,36.9940,16.9660
5.17,"","","",198.8846,-175.0266,199.4021,-468.0222,36.9950,16.9800
5.20,"","","",199.1585,-198.9680,199.3683,-481.1848,36.9950,17.0120
5.23,"","","",199.3235,-221.6399,199.2883,-491.7148,36.9930,17.0700
5.27,"","","",199.4378,-242.7700,199.2056,-499.4243,36.9930,17.0860
5.30,"","","",199.4913,-262.3585,199.0965,-504.5953,36.9950,17.0840
5.33,"","","",199.4777,-280.1332,198.9809,-506.9457,36.9950,17.1020
5.37,"","","",199.3698,-296.0035,198.8662,-506.5696,36.9960,17.1430
5.40,"","","",199.3081,-310.2414,198.6819,-503.4670,36.9960,17.1540
5.43,"","","",199.1929,-322.5749,198.5052,-497.4499,36.9980,17.1710
5.47,"","","",199.0714,-333.0039,198.0398,-488.0481,36.9980,17.1870
5.50,"","","",198.9408,-341.6192,197.6026,-475.5437,36.9980,17.2160
5.53,"","","",198.7794,-348.3301,197.3516,-460.4067,36.9990,17.2300
5.57,"","","",198.6007,-353.0458,197.4127,-443.2014,36.9990,17.2550
5.60,"","","",198.4130,-355.7664,197.5678,-423.9277,36.9990,17.2770
5.63,"","","",198.2443,-356.7640,197.8254,-402.8677,37.0000,17.2710
5.67,"","","",198.0448,-355.9478,198.1413,-380.2093,37.0010,17.2230
5.70,"","","",197.8453,-353.2272,198.4967,-355.9526,37.0000,17.2310
5.73,"","","",197.6639,-348.6928,198.8935,-330.3797,37.0010,17.1910
5.77,"","","",197.4780,-342.5261,199.2028,-303.2084,37.0020,17.1470
5.80,"","","",197.2268,-334.5456,199.5873,-274.4389,37.0010,17.1360
5.83,"","","",197.0282,-324.7514,199.9737,-239.6522,37.0000,17.1600
5.87,"","","",196.7353,-313.1434,200.3724,-178.0703,36.9990,17.2000
5.90,"","","",196.4360,-299.7217,200.7165,-124.6680,37.0000,17.2000
5.93,"","","",196.0325,-284.3048,201.0418,-88.5651,37.0000,17.2010
5.97,"","","",195.6443,-267.1649,201.4084,-65.5306,37.0020,17.1390
6.00,"","","",195.4575,-248.3926,201.7996,-51.6159,37.0030,17.1060
6.03,"","","",195.3859,-228.2600,202.1803,-43.9065,37.0030,17.0730
6.07,"","","",195.5210,-207.2206,202.5338,-40.5218,37.0020,17.0560
6.10,"","","",195.7640,-185.4556,202.8873,-40.0517,37.0020,17.0200
6.13,"","","",196.0234,-162.9651,203.2568,-41.8381,37.0020,16.9890
6.17,"","","",196.3000,-105.3787,203.6132,-45.3167,37.0010,16.9910
6.20,"","","",196.5657,-46.6133,203.9648,-50.2057,37.0000,16.9700
6.23,"","","",196.8614,-8.6153,204.2892,-56.0348,36.9990,17.0000
6.27,"","","",197.1869,14.2379,204.5722,-62.5221,37.0000,16.9920
6.30,"","","",197.4934,27.6596,204.8805,-69.5734,37.0020,16.9400
6.33,"","","",197.7836,35.0053,205.2265,-77.0008,37.0030,16.9100
6.37,"","","",198.0584,38.3607,205.5471,-84.7103,37.0030,16.8870
6.40,"","","",198.3414,38.7235,205.8527,-92.5138,37.0020,16.8770
6.43,"","","",198.6434,36.9097,206.1423,-100.3173,37.0030,16.8260
6.47,"","","",198.9000,33.4636,206.4422,-108.1208,37.0040,16.7730
6.50,"","","",199.1902,28.6572,206.7722,-115.7363,37.0050,16.7590
6.53,"","","",199.4659,22.8532,207.0721,-123.1637,37.0050,16.7240
6.57,"","","",199.7352,16.2330,207.3466,-130.2151,37.0050,16.7020
6.60,"","","",199.9892,8.9780,207.6230,-136.8904,37.0050,16.6470
6.63,"","","",200.2485,1.2696,207.9239,-143.0956,37.0050,16.6330
6.67,"","","",200.4898,-6.8016,208.2266,-148.8307,37.0050,16.6170
6.70,"","","",200.7546,-15.1448,208.4579,-153.9077,37.0050,16.5700
6.73,"","","",201.0194,-23.6694,208.7334,-158.2325,37.0050,16.5560
6.77,"","","",201.2805,-32.2847,208.9835,-161.7112,37.0050,16.5200
6.80,"","","",201.5055,-40.9000,209.2571,-163.7796,37.0050,16.4840
6.83,"","","",201.7476,-49.4246,209.4996,-164.4377,37.0050,16.4720
6.87,"","","",202.0097,-57.9492,209.7450,-163.9676,37.0050,16.4260
6.90,"","","",202.2219,-66.1111,210.0045,-162.8394,37.0060,16.3870
6.93,"","","",202.4404,-74.0009,210.2800,-161.4291,37.0050,16.3740
6.97,"","","",202.6608,-81.6186,210.4850,-159.6428,37.0050,16.3470
7.00,"","","",202.8413,-88.7829,210.6852,-157.6684,37.0050,16.3230
7.03,"","","",203.0616,-95.4938,210.9203,-155.6000,37.0060,16.2800
7.07,"","","",203.2929,-101.7512,211.1816,-153.6256,37.0070,16.2460
7.10,"","","",203.5305,-107.6459,211.4092,-151.4632,37.0070,16.2140
7.13,"","","",203.7427,-112.8150,211.6028,-149.3008,37.0060,16.1950
7.17,"","","",203.9313,-117.3494,211.8078,-147.1384,37.0060,16.1530
7.20,"","","",204.1200,-121.0676,212.0118,-144.9759,37.0070,16.1280
7.23,"","","",204.3276,-123.7882,212.2224,-142.8135,37.0070,16.1050
7.27,"","","",204.5290,-125.4206,212.4687,-140.6511,37.0070,16.0800
7.30,"","","",204.6958,-125.8740,212.7085,-138.4887,37.0060,16.0620
7.33,"","","",204.8464,-125.3299,212.8711,-136.3263,37.0060,16.0440
7.37,"","","",205.0341,-124.0603,213.0046,-134.1639,37.0060,16.0130
7.40,"","","",205.2427,-122.6093,213.1701,-131.9074,37.0050,15.9850
7.43,"","","",205.4177,-120.9769,213.3807,-129.7450,37.0060,15.9300
7.47,"","","",205.5719,-119.2539,213.6073,-127.7706,37.0050,15.9130
7.50,"","","",205.7505,-117.5308,213.7906,-125.7962,37.0050,15.8970
7.53,"","","",205.9174,-115.7170,213.9627,-123.8219,37.0050,15.8440
7.57,"","","",206.0707,-113.8126,214.1394,-121.9415,37.0050,15.8210
7.60,"","","",206.1749,-111.9082,214.2908,-119.8731,37.0030,15.8150
7.63,"","","",206.3300,-110.0037,214.4488,-117.8047,37.0040,15.7770
7.67,"","","",206.5114,-108.1900,214.6067,-115.8303,37.0040,15.7550
7.70,"","","",206.6320,-106.2856,214.8041,-113.9500,37.0040,15.7330
7.73,"","","",206.7708,-104.4718,215.0147,-112.1636,37.0040,15.7000
7.77,"","","",206.9385,-102.6581,215.1492,-110.2833,37.0050,15.6550
7.80,"","","",207.0637,-100.7536,215.2724,-108.4029,37.0040,15.6400
7.83,"","","",207.2033,-98.9399,215.4491,-106.6166,37.0030,15.6240
7.87,"","","",207.3766,-97.3075,215.6071,-104.9242,37.0020,15.6160
